gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000038886	Man2a2	305.0	386.0	316.0	312.0	440.0	336.0	312.0	353.0
ENSMUSG00000053158	Fes	19.0	68.0	28.0	27.0	35.0	41.0	56.0	96.0
ENSMUSG00000030530	Furin	924.0	1190.0	912.0	720.0	1016.0	936.0	995.0	1207.0
ENSMUSG00000030528	Blm	306.0	391.0	294.0	248.0	437.0	351.0	385.0	343.0
ENSMUSG00000030527	Crtc3	1540.0	1888.0	1595.0	1339.0	1869.0	1822.0	1960.0	1683.0
ENSMUSG00000030536	Iqgap1	13823.0	16354.0	12211.0	10604.0	17354.0	14135.0	16813.0	13189.0
ENSMUSG00000108321	Gm44649	116.0	109.0	96.0	93.0	95.0	85.0	101.0	109.0
ENSMUSG00000038797	Zscan2	444.0	490.0	449.0	428.0	564.0	417.0	453.0	397.0
ENSMUSG00000025722	Wdr73	483.0	682.0	511.0	420.0	624.0	575.0	776.0	618.0
ENSMUSG00000025723	Nmb	1671.0	2146.0	1567.0	1007.0	2023.0	1658.0	2563.0	1570.0
ENSMUSG00000025724	Sec11a	8330.0	11777.0	8306.0	7535.0	10543.0	10298.0	11454.0	10287.0
ENSMUSG00000109008	Gm44899	45.0	67.0	54.0	30.0	59.0	46.0	55.0	55.0
